"枚举","变量","类型","属性名","属性描述","属性计算","计算顺序","属性上限","属性下限","是比例值","保留小数位","属性组","排序"
"id","key","type","name","description","count","order","upperLimit","lowerLimit","percent","decimalDigits","group","sort"
"Int","String","Int","String","String","String","Int","String","String","Int","Int","Int","Int"
"all","all","client","client","client","all","all","all","all","client","client","client","client"
"2000","GetFightHp","1","即时生命","","hp*(1+hpAddPercent*0.0001-hpMinusPercent*0.0001)","2000","hp","0","","","",""
"2001","GetFightMp","1","即时灵力","","mp","1000","mp","0","","","",""
"2002","GetFightAtkMin","1","即时最小攻击","","(atkMin+atkFixed+atkLevel)*(1+atkAddPercent*0.0001-atkMinusPercent*0.0001)","2000","Infinite","0","","","",""
"2003","GetFightAtkMax","1","即时最大攻击","","(atkMax+atkFixed+atkLevel)*(1+atkAddPercent*0.0001-atkMinusPercent*0.0001)","2000","Infinite","0","","","",""
"2004","GetFightDef","1","即时防御","","(def+defLevel)*(1+defAddPercent*0.0001-defMinusPercent*0.0001)","2000","Infinite","0","","","",""
"2005","GetFightHit","1","即时命中","","hit*(1+hitAddPercent*0.0001)","2000","Infinite","0","","","",""
"2006","GetFightDodgy","1","即时闪避","","dodgy*(1+dodgyAddPercent*0.0001)","2000","Infinite","0","","","",""
"2007","GetFightDodgyFactor","1","闪避因子","用于计算命中时修正属性","10000","1000","Infinite","0","","","",""
"2008","GetFightCrit","1","即时暴击","","crit*(1+critAddPercent*0.0001)","2000","Infinite","0","","","",""
"2009","GetFightUncrit","1","即时韧性","","uncrit*(1+uncritAddPercent*0.0001)","2000","Infinite","0","","","",""
"2010","GetFightCritFactor","1","暴击因子","用于计算暴击时修正属性","40000","1000","Infinite","0","","","",""
"2011","GetFightAtkFixed","1","攻击加深","","atkFixed*0.0001","1000","Infinite","0","","","",""
"2012","GetFightSkillFixed","1","技能增伤","","skillFixed*(1+skillFixedAdd*0.0001)","2000","Infinite","0"
"2013","GetFightAtkSpeed","1","攻击速度","","atkSpeed*(1+atkSpeedAddPercent*0.0001)","2000","20000","10000"
"2014","GetFightRunSpeed","1","移动速度","","runSpeed*(1+runSpeedAddPercent*0.0001)","2000","Infinite","1"
"2015","GetFightHpRecover","1","生命回复","","hpRecover","1000","Infinite","0"
"2016","GetFightMpRecover","1","灵力回复","","mpRecover","1000","Infinite","0"
"2017","GetFightCritDamageAdd","1","暴击增伤","","critDamageAdd","1000","Infinite","0"
"2018","GetFightCritDamageMinus","1","暴击减伤","","critDamageMinus","1000","Infinite","0"
"2019","GetFightGreatDamageAdd","1","精绝增伤","","greatDamageAdd","1000","Infinite","0"
"2020","GetFightGreatDamageMinus","1","精绝减伤","","greatDamageMinus","1000","Infinite","0"
"2021","GetFightCriticalDamageAdd","1","会心增伤","","criticalDamageAdd","1000","Infinite","0"
"2022","GetFightCriticalDamageMinus","1","会心减伤","","criticalDamageMinus","1000","Infinite","0"
"2023","GetFightLuckyDamageAdd","1","无双增伤","","luckyDamageAdd","1000","Infinite","0"
"2024","GetFightLuckyDamageMinus","1","无双减伤","","luckyDamageMinus","1000","Infinite","0"
"2025","GetFightFatalDamageAdd","1","致命增伤","","fatalDamageAdd","1000","Infinite","0"
"2026","GetFightFatalDamageMinus","1","致命减伤","","fatalDamageMinus","1000","Infinite","0"
"2027","GetFightAtkHpRecover","1","攻击回血","","atkHpRecover*(1+cureRadio*0.0001)","1000","Infinite","0"
"2028","GetFightLuckyKey","1","幸运值","","luckyKey","1000","10","0"
"2029","GetFightHitAssoluta","1","绝对命中","","hitAssoluta","1000","Infinite","0"
